1,6821470,,amnh@eircom.net,,aras mhuire nursing unit,7 dublin road,pallative care 12b,,tuam,galway,ireland
2,06721271,,,,aiglish national school,,,,nenagh,tipperary,ireland
3,50421448,,reception@scoilailbhe.ie,,ailbhe national school,,,,thurles,tipperary,ireland
4,749532658,879263327,,,angle day care center,gweedore rd,,,dungloe,donegal,ireland
5,749521388,,,,angle day care center,gweedore road,,,dungloe,donegal,ireland
6,749521388,,,,angle day care center,gweedore road,,,dungloe,donegal,ireland
7,749521388,,,,angle day care center,snoozelan room,,,dungloe,donegal,ireland
8,749521388,,,,angle day care center,gweedore road,,,dungloe,donegal,ireland
9,749532658,879263327,,,angle day care center,gweedore rd,,,dungloe,donegal,ireland
10,749560624,,efriel@arasgaothdohair.ie,,aras ghaoth dobhair nursing home,meenanillar,,,derrybeg,donegal,ireland
11,749560624,,efriel@arasgaothdohair.ie,,aras ghaoth dobhair nursing home,meenanillar,,,derrybeg,donegal,ireland
12,749560624,,efriel@arasgaothdohair.ie,,aras ghaoth dobhair nursing home,meenanillar,,,derrybeg,donegal,ireland
13,6821470,,amnh@eircom.net,,aras mhuire nursing unit,7 dublin road,pallative care 12a,,tuam,galway,ireland
14,667134289,861607421,ardfertns.ias@eircom.net,,ardfert national school,,,,ardfert,kerry,ireland
15,719671771,,jscott@auragroup.ie,,aura leitrim leisure,attfinlay,,,carrick-on-shannon,leitrim,ireland
16,91871200,,bernie.austin@hse.ie,,ballinsloe community nursing unit,,,,ballinasloe,galway,ireland
17,91871200,863816700,bernie.austin@hse.ie,,ballinsloe community nursing unit,room no. 1 top floor,,,ballinasloe,galway,ireland
18,91871200,863816700,bernie.austin@hse.ie,,ballinsloe community nursing unit,room no. 4 top floor,,,ballinasloe,galway,ireland
19,91871200,863816700,bernie.austin@hse.ie,,ballinsloe community nursing unit,room no. 5 top floor,,,ballinasloe,galway,ireland
20,91871200,863816700,bernie.austin@hse.ie,,ballinsloe community nursing unit,room no. 3 top floor,,,ballinasloe,galway,ireland
21,596481255,872040499,carol.gannon@hse.ie,,baltinglass district hospital,baltinglass,room 92,,baltinglass,wicklow,ireland
22,596481255,872040499,carol.gannon@hse.ie,,baltinglass district hospital,baltinglass,room 98,,baltinglass,wicklow,ireland
23,596481255,872040499,carol.gannon@hse.ie,,baltinglass district hospital,baltinglass,room 80,,baltinglass,wicklow,ireland
24,596481255,872040499,carol.gannon@hse.ie,,baltinglass district hospital,baltinglass,,,baltinglass,wicklow,ireland
25,596481255,872040499,carol.gannon@hse.ie,,baltinglass district hospital,baltinglass,room 158,,baltinglass,wicklow,ireland
